File Name,Template Instances,Non-Linear Constraints,Linear Constraints,Public Inputs,Private Inputs,Public Outputs,Wires,Labels
blur,166,248934,0,4,512,4,241257,601172
brightness,165,305184,1,3,256,3,289829,596954
contrast,165,305184,1,3,256,3,289829,596954
crop,175,672272,1,3,128,3,671633,2589863
grayscale,164,120864,0,2,256,2,118307,251221
hash,154,6672,0,1,128,1,6787,32873
resize,162,241968,0,2,512,2,234291,578721
sharpness,171,325734,0,4,512,4,310377,785492
